iso3,variable,baseline_mean
AFG,cdd,135.3515821904194
AFG,rx1day,21.745863666666665
AFG,rx5day,40.83508406666667
AGO,cdd,127.76713178294573
AGO,rx1day,32.390285633333335
AGO,rx5day,95.22433523333333
ALB,cdd,32.15714285714286
ALB,rx1day,41.622889066666666
ALB,rx5day,84.96978206666667
ARE,cdd,272.0768956043956
ARE,rx1day,11.541700353333335
ARE,rx5day,16.663279216666666
ARG,cdd,26.439125295508276
ARG,rx1day,44.274831533333334
ARG,rx5day,84.74595586666666
ARM,cdd,27.183333333333334
ARM,rx1day,24.157545566666666
ARM,rx5day,56.46869503333333
AUS,cdd,108.24581724711287
AUS,rx1day,38.512191666666666
AUS,rx5day,82.27978406666666
AUT,cdd,17.747619047619047
AUT,rx1day,34.04073043333333
AUT,rx5day,71.83830666666667
AZE,cdd,42.540579710144925
AZE,rx1day,26.492210399999998
AZE,rx5day,53.6183551
BDI,cdd,98.20666666666666
BDI,rx1day,25.051613933333332
BDI,rx5day,79.33063943333333
BEL,cdd,18.25
BEL,rx1day,27.120924733333332
BEL,rx5day,57.773263166666666
BEN,cdd,191.30980392156863
BEN,rx1day,31.349246400000002
BEN,rx5day,72.72619846666666
BFA,cdd,220.3674603174603
BFA,rx1day,26.629816533333333
BFA,rx5day,52.23828446666666
BGD,cdd,68.50493827160494
BGD,rx1day,65.868062
BGD,rx5day,163.55265933333334
BGR,cdd,32.77361111111111
BGR,rx1day,30.550219000000002
BGR,rx5day,59.77229556666667
BHS,cdd,22.0
BHS,rx1day,47.10616126666666
BHS,rx5day,104.00270223333334
BIH,cdd,21.778787878787877
BIH,rx1day,42.028175733333335
BIH,rx5day,87.97917536666667
BLR,cdd,20.18011695906433
BLR,rx1day,26.3048238
BLR,rx5day,51.8891465
BLZ,cdd,38.044444444444444
BLZ,rx1day,29.721945333333334
BLZ,rx5day,70.91963036666667
BOL,cdd,34.49276895943562
BOL,rx1day,41.8247202
BOL,rx5day,100.06322916666666
BRA,cdd,60.38775842044135
BRA,rx1day,40.643018766666664
BRA,rx5day,109.85314743333333
BRN,cdd,7.177777777777778
BRN,rx1day,44.3027082
BRN,rx5day,134.21550566666667
BTN,cdd,26.254166666666666
BTN,rx1day,76.8624989
BTN,rx5day,234.97056733333332
BWA,cdd,105.30534591194969
BWA,rx1day,31.054828533333332
BWA,rx5day,79.4030099
CAF,cdd,138.42920634920634
CAF,rx1day,28.17559806666667
CAF,rx5day,73.36511246666667
CAN,cdd,29.044293556775497
CAN,rx1day,25.4209042
CAN,rx5day,48.1710593
CHE,cdd,16.933333333333334
CHE,rx1day,37.221123766666665
CHE,rx5day,86.03987283333335
CHL,cdd,54.28052175592246
CHL,rx1day,43.85794946666667
CHL,rx5day,110.97553656666668
CHN,cdd,63.66351798098944
CHN,rx1day,31.1765901
CHN,rx5day,67.05262133333333
CIV,cdd,125.54035087719299
CIV,rx1day,31.306731266666667
CIV,rx5day,84.44662266666667
CMR,cdd,129.3113924050633
CMR,rx1day,30.947945133333334
CMR,rx5day,88.8641756
COD,cdd,69.86094986807389
COD,rx1day,28.76974446666667
COD,rx5day,82.91610770000001
COG,cdd,47.20178571428571
COG,rx1day,27.8847113
COG,rx5day,80.60667303333334
COL,cdd,35.7780701754386
COL,rx1day,38.67295643333333
COL,rx5day,112.97793633333335
CRI,cdd,88.42121212121212
CRI,rx1day,38.90828633333333
CRI,rx5day,124.48111356666666
CUB,cdd,29.077272727272728
CUB,rx1day,26.42725073333333
CUB,rx5day,73.26303473333333
CYP,cdd,141.7
CYP,rx1day,16.425903716666667
CYP,rx5day,33.827957
CZE,cdd,18.055555555555554
CZE,rx1day,28.114568533333333
CZE,rx5day,58.645123733333335
DEU,cdd,18.295340501792115
DEU,rx1day,26.36453283333333
DEU,rx5day,55.29692446666666
DJI,cdd,117.35833333333333
DJI,rx1day,13.570962063333333
DJI,rx5day,29.297657376666667
DNK,cdd,21.654761904761905
DNK,rx1day,22.549432266666667
DNK,rx5day,46.31017096666667
DOM,cdd,20.141666666666666
DOM,rx1day,25.586362
DOM,rx5day,74.50789133333333
DZA,cdd,366.29160894332347
DZA,rx1day,5.988512743333333
DZA,rx5day,9.72398068
ECU,cdd,8.651666666666667
ECU,rx1day,53.07256036666667
ECU,rx5day,151.16680166666666
EGY,cdd,561.6819564501297
EGY,rx1day,2.8432554933333334
EGY,rx5day,4.094362836666667
ERI,cdd,147.65
ERI,rx1day,21.700202466666667
ERI,rx5day,54.35446506666666
ESP,cdd,44.99314641744548
ESP,rx1day,30.740266533333333
ESP,rx5day,66.1589328
EST,cdd,19.394117647058824
EST,rx1day,23.810136666666665
EST,rx5day,47.797070233333336
ETH,cdd,111.87535460992908
ETH,rx1day,24.847372866666667
ETH,rx5day,74.07307533333332
FIN,cdd,20.22051282051282
FIN,rx1day,21.8299792
FIN,rx5day,44.44218416666667
FJI,cdd,16.855555555555558
FJI,rx1day,54.1118421
FJI,rx5day,126.27459813333333
GAB,cdd,24.891111111111112
GAB,rx1day,31.3081715
GAB,rx5day,95.4197387
GBR,cdd,17.384285714285717
GBR,rx1day,26.288517366666667
GBR,rx5day,56.71869523333333
GEO,cdd,21.66190476190476
GEO,rx1day,28.9590541
GEO,rx5day,67.52803826666667
GHA,cdd,146.6910569105691
GHA,rx1day,28.721959866666666
GHA,rx5day,71.69155559999999
GIN,cdd,181.69841269841268
GIN,rx1day,42.03744183333333
GIN,rx5day,113.99266066666668
GMB,cdd,282.53333333333336
GMB,rx1day,20.649071123333332
GMB,rx5day,37.854520066666666
GNB,cdd,249.69444444444443
GNB,rx1day,36.8879216
GNB,rx5day,78.25159923333334
GNQ,cdd,35.888888888888886
GNQ,rx1day,30.744692166666667
GNQ,rx5day,101.19514373333332
GRC,cdd,53.22142857142857
GRC,rx1day,34.05498756666667
GRC,rx5day,67.5457041
GTM,cdd,39.9125
GTM,rx1day,38.350519299999995
GTM,rx5day,113.3616717
GUY,cdd,48.78703703703704
GUY,rx1day,35.3512085
GUY,rx5day,103.66004373333334
HND,cdd,38.6859649122807
HND,rx1day,32.834973766666664
HND,rx5day,96.27117486666666
HRV,cdd,23.76153846153846
HRV,rx1day,35.082495566666665
HRV,rx5day,69.47085723333333
HTI,cdd,40.77777777777778
HTI,rx1day,25.712330166666668
HTI,rx5day,83.76729603333334
HUN,cdd,25.578260869565216
HUN,rx1day,26.446680166666667
HUN,rx5day,52.352710200000004
IDN,cdd,22.53892617449664
IDN,rx1day,38.219499000000006
IDN,rx5day,114.95306313333334
IND,cdd,105.88321364567332
IND,rx1day,44.735569133333335
IND,rx5day,117.53963593333333
IRL,cdd,14.825
IRL,rx1day,27.653407166666668
IRL,rx5day,58.797049
IRN,cdd,143.27866228665735
IRN,rx1day,19.199077266666666
IRN,rx5day,34.455389
IRQ,cdd,178.61841022627092
IRQ,rx1day,16.287799783333334
IRQ,rx5day,26.9941808
ISL,cdd,13.61219512195122
ISL,rx1day,30.06018763333333
ISL,rx5day,68.89675673333333
ISR,cdd,164.75833333333333
ISR,rx1day,16.190608316666665
ISR,rx5day,30.667665833333334
ITA,cdd,39.129107981220656
ITA,rx1day,37.82513553333333
ITA,rx5day,79.24775613333333
JAM,cdd,18.483333333333334
JAM,rx1day,24.307154583333332
JAM,rx5day,63.9093542
JOR,cdd,175.2074074074074
JOR,rx1day,9.540486066666666
JOR,rx5day,15.621518833333333
JPN,cdd,12.2063670411985
JPN,rx1day,70.53280106666666
JPN,rx5day,139.17692593333334
KAZ,cdd,60.294543650793656
KAZ,rx1day,14.313471066666667
KAZ,rx5day,26.072589933333333
KEN,cdd,99.6765306122449
KEN,rx1day,26.259253566666665
KEN,rx5day,76.99825946666667
KGZ,cdd,30.44341085271318
KGZ,rx1day,21.2325568
KGZ,rx5day,53.27910623333333
KHM,cdd,74.79885057471265
KHM,rx1day,46.6808033
KHM,rx5day,137.9713163
KOR,cdd,21.95873015873016
KOR,rx1day,74.11006843333332
KOR,rx5day,144.95457739999998
KWT,cdd,204.9222222222222
KWT,rx1day,13.630610103333334
KWT,rx5day,20.473551813333334
LAO,cdd,67.77350427350427
LAO,rx1day,51.6616004
LAO,rx5day,154.9434016666667
LBN,cdd,107.8
LBN,rx1day,28.062885133333335
LBN,rx5day,62.97943516666667
LBR,cdd,81.27555555555556
LBR,rx1day,42.693229366666664
LBR,rx5day,126.17355766666667
LBY,cdd,468.74000243383347
LBY,rx1day,3.9900694800000003
LBY,rx5day,6.063135793333333
LKA,cdd,38.33939393939394
LKA,rx1day,35.98140743333333
LKA,rx5day,106.1529047
LSO,cdd,30.133333333333333
LSO,rx1day,41.23261486666667
LSO,rx5day,104.22599369999999
LTU,cdd,17.976470588235298
LTU,rx1day,25.095099666666666
LTU,rx5day,51.282245833333334
LVA,cdd,18.22105263157895
LVA,rx1day,25.004933433333335
LVA,rx5day,50.5641059
MAR,cdd,177.26613756771476
MAR,rx1day,14.488983966666666
MAR,rx5day,29.387282000000003
MDA,cdd,29.476190476190478
MDA,rx1day,23.7787796
MDA,rx5day,45.345849199999996
MDG,cdd,51.002640264026404
MDG,rx1day,61.756646266666664
MDG,rx5day,175.011201
MEX,cdd,62.971455399061036
MEX,rx1day,36.88656063333334
MEX,rx5day,86.08882826666667
MKD,cdd,30.813333333333333
MKD,rx1day,24.6155358
MKD,rx5day,51.983666
MLI,cdd,398.50198684005136
MLI,rx1day,10.746548226666667
MLI,rx5day,19.459466666666668
MMR,cdd,81.64463768115941
MMR,rx1day,54.64119973333333
MMR,rx5day,156.062301
MNE,cdd,24.177777777777774
MNE,rx1day,50.8373831
MNE,rx5day,107.21383540000001
MNG,cdd,77.48890248937397
MNG,rx1day,17.9219662
MNG,rx5day,31.0540453
MOZ,cdd,58.27047619047619
MOZ,rx1day,47.87845996666667
MOZ,rx5day,129.2952157
MRT,cdd,470.678837549315
MRT,rx1day,4.03482559
MRT,rx5day,5.58808641
MWI,cdd,69.28245614035087
MWI,rx1day,37.99169633333334
MWI,rx5day,115.4761435
MYS,cdd,11.76
MYS,rx1day,40.538683533333334
MYS,rx5day,119.68355116666666
NAM,cdd,118.97986111111112
NAM,rx1day,29.326645799999998
NAM,rx5day,83.07376763333333
NER,cdd,572.5049641192129
NER,rx1day,4.6151090366666665
NER,rx5day,7.79974195
NGA,cdd,199.50604883608864
NGA,rx1day,26.007816933333334
NGA,rx5day,63.009169066666665
NIC,cdd,66.12727272727273
NIC,rx1day,30.098207433333336
NIC,rx5day,89.14629140000001
NLD,cdd,19.226666666666667
NLD,rx1day,24.9922517
NLD,rx5day,54.747190599999996
NPL,cdd,42.84320987654321
NPL,rx1day,55.67626816666667
NPL,rx5day,154.94568149999998
NZL,cdd,14.632804232804233
NZL,rx1day,53.80374453333333
NZL,rx5day,108.76907873333333
OMN,cdd,374.58529330473147
OMN,rx1day,11.351336013333334
OMN,rx5day,17.908220873333335
PAK,cdd,127.85391504404119
PAK,rx1day,25.103196633333333
PAK,rx5day,49.53395166666667
PAN,cdd,64.45277777777777
PAN,rx1day,31.672270233333332
PAN,rx5day,98.92753636666666
PER,cdd,28.421917808219177
PER,rx1day,37.0536275
PER,rx5day,104.10161666666666
PHL,cdd,12.50909090909091
PHL,rx1day,64.46553923333333
PHL,rx5day,169.89485299999998
PNG,cdd,8.929004329004329
PNG,rx1day,43.140176366666665
PNG,rx5day,132.86382346666667
POL,cdd,19.35529411764706
POL,rx1day,26.2767974
POL,rx5day,53.10503713333333
PRK,cdd,22.751388888888886
PRK,rx1day,72.1914675
PRK,rx5day,137.8946527
PRT,cdd,55.49824561403509
PRT,rx1day,41.60472563333334
PRT,rx5day,99.2994684
PRY,cdd,22.85666666666667
PRY,rx1day,59.17937993333333
PRY,rx5day,113.4364656
QAT,cdd,243.05
QAT,rx1day,12.158775953333333
QAT,rx5day,18.169173259999997
ROU,cdd,28.712962962962965
ROU,rx1day,27.975380933333334
ROU,rx5day,54.859640633333335
RUS,cdd,31.688080026899797
RUS,rx1day,21.648600133333332
RUS,rx5day,43.0228092
RWA,cdd,71.13333333333334
RWA,rx1day,27.118252633333334
RWA,rx5day,88.7969635
SAU,cdd,232.1391486588203
SAU,rx1day,10.38137536
SAU,rx5day,17.34646088
SDN,cdd,366.20002962139915
SDN,rx1day,11.173739906666666
SDN,rx5day,24.728232433333336
SEN,cdd,297.3842918939916
SEN,rx1day,17.72729425
SEN,rx5day,31.368811033333333
SLB,cdd,5.4
SLB,rx1day,49.757950066666666
SLB,rx5day,148.2908678
SLE,cdd,125.2638888888889
SLE,rx1day,51.76823196666667
SLE,rx5day,151.59034000000003
SLV,cdd,74.20666666666666
SLV,rx1day,35.9684063
SLV,rx5day,103.91727829999999
SOM,cdd,124.62008547008547
SOM,rx1day,25.1234879
SOM,rx5day,69.01410856666666
SRB,cdd,26.35
SRB,rx1day,26.375109033333334
SRB,rx5day,51.85637213333334
SSD,cdd,142.68816199376948
SSD,rx1day,27.868314866666665
SSD,rx5day,71.52122263333334
SUR,cdd,67.20434782608696
SUR,rx1day,28.7042605
SUR,rx5day,85.8321173
SVK,cdd,21.907407407407405
SVK,rx1day,28.268384066666666
SVK,rx5day,56.319087933333336
SVN,cdd,21.666666666666668
SVN,rx1day,37.66747423333334
SVN,rx5day,74.16160376666667
SWE,cdd,19.33649789029536
SWE,rx1day,23.771322100000003
SWE,rx5day,49.5503929
SWZ,cdd,33.22222222222222
SWZ,rx1day,65.37286383333334
SWZ,rx5day,151.71441926666665
SYR,cdd,141.8921052631579
SYR,rx1day,15.802957633333333
SYR,rx5day,29.2232016
TCD,cdd,416.060991673525
TCD,rx1day,11.17849909
TCD,rx5day,24.492389166666666
TGO,cdd,162.6871794871795
TGO,rx1day,29.558131566666667
TGO,rx5day,73.2367813
THA,cdd,86.06629213483146
THA,rx1day,42.26277566666667
THA,rx5day,120.26906073333333
TJK,cdd,61.68205128205128
TJK,rx1day,20.436848466666667
TJK,rx5day,47.7851153
TKM,cdd,142.83968253968254
TKM,rx1day,12.509724683333333
TKM,rx5day,19.640731833333334
TLS,cdd,118.28888888888888
TLS,rx1day,40.8126479
TLS,rx5day,116.80758999999999
TTO,cdd,23.266666666666666
TTO,rx1day,23.0312977
TTO,rx5day,61.087805499999995
TUN,cdd,126.71238095238095
TUN,rx1day,15.91631985
TUN,rx5day,26.2618046
TUR,cdd,51.47790927021696
TUR,rx1day,27.886552333333334
TUR,rx5day,59.215699699999995
TZA,cdd,89.99193205944798
TZA,rx1day,28.852527566666666
TZA,rx5day,88.92014763333333
UGA,cdd,60.228205128205126
UGA,rx1day,25.902597833333335
UGA,rx5day,82.03628886666667
UKR,cdd,27.75248226950355
UKR,rx1day,24.0033997
UKR,rx5day,46.32492393333334
URY,cdd,17.820588235294117
URY,rx1day,67.50712623333332
URY,rx5day,127.46322239999999
USA,cdd,27.435830048182215
USA,rx1day,38.500432466666666
USA,rx5day,75.54047489999999
UZB,cdd,128.97590759075908
UZB,rx1day,13.872199233333333
UZB,rx5day,24.87544366666667
VEN,cdd,71.3503355704698
VEN,rx1day,34.34937053333333
VEN,rx5day,99.1974102
VNM,cdd,39.58
VNM,rx1day,57.4793353
VNM,rx5day,149.85254846666666
YEM,cdd,231.3995790042332
YEM,rx1day,13.776498073333332
YEM,rx5day,28.965552333333335
ZAF,cdd,46.28231884057971
ZAF,rx1day,38.8150711
ZAF,rx5day,87.6895314
ZMB,cdd,127.41827956989248
ZMB,rx1day,33.27613336666666
ZMB,rx5day,100.5472204
ZWE,cdd,87.62222222222223
ZWE,rx1day,42.78827733333333
ZWE,rx5day,123.8671357
